关键词,店铺名称,地理位置,产品名称,产品价格,付款人数,店铺链接,图片地址,商品链接,商品ID,店铺类型,当前页面网址,当前时间,页码
粽子,五芳斋久臻专卖店,浙江嘉兴,五芳斋粽子礼盒装蛋黄肉粽蜜枣粽嘉兴鲜肉粽子组合端午节礼品团购,79.9,7000+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2206749824503,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=617158816557&ns=1&abbucket=3,6.17159E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:13.8,1
粽子,利恒食品专营,浙江嘉兴,五芳斋粽子嘉兴特产粽子真空包装蛋黄鲜肉粽共140g*10只大粽子,60,2277人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=1743133125,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=41229266594&ns=1&abbucket=3,41229266594,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:14.9,1
粽子,九禧食品旗舰店,浙江嘉兴,嘉兴粽子礼盒装团购批发定制蛋黄肉粽蜜枣豆沙甜粽端午节礼品送礼,169.9,5500+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2200636978773,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=617841205591&ns=1&abbucket=3,6.17841E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:16.0,1
粽子,五芳斋浙江专卖店,浙江嘉兴,五芳斋粽子礼盒装新鲜大肉粽蛋黄猪肉粽豆沙端午食品团购嘉兴特产,39.9,5.0万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2455222931,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=569129754920&ns=1&abbucket=3,5.6913E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:17.1,1
粽子,荃盛旗舰店,浙江宁波,荃盛粽子鲜肉粽蛋黄鲜肉粽豆沙粽子甜粽端午节礼品嘉兴粽子礼盒装,59.9,3.5万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=1656542957,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=593617843925&ns=1&abbucket=3,5.93618E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:18.2,1
粽子,诺味贸易,上海,上海璐坊粽王官方直营新鲜手工鲜肉粽子蛋黄肉粽经典装240g*10只,109,1106人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=4209603078,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=618274202640&ns=1&abbucket=3#detail,6.18274E+11,淘宝,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:19.3,1
粽子,艾格吃饱了旗舰店,浙江嘉兴,艾格吃饱了粽子蛋黄肉粽豆沙大粽子端午节甜粽送礼盒网红鲜肉粽,198,2784人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=4050816810,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=618241005461&ns=1&abbucket=3,6.18241E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:20.4,1
粽子,红船旗舰店,浙江嘉兴,红船浙江嘉兴特产手工粽子12只鲜肉棕子端午节团购批发粽子散装,39.9,2.5万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=1114519084,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=23757812458&ns=1&abbucket=3,23757812458,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:21.5,1
粽子,稻香村食品旗舰店,北京,稻香私房嘉兴大蛋黄鲜肉粽甜味蜜枣散装粽子礼盒装端午节特产送礼,69.9,10万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=1692258071,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1692258071/O1CN016T7DZZ29UZFkxHnGO_!!1692258071-0-lubanu-s.jpg_460x460Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=615802084898&ns=1&abbucket=3,6.15802E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:22.5,1
粽子,知味观官方旗舰店,浙江杭州,知味观端午节粽子甜粽咸蛋黄大肉粽礼盒装嘉兴味鲜肉粽子散装团购,49.9,9.0万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=475325704,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/475325704/O1CN01uxuNe31s0TlehIBua_!!475325704-0-lubanu-s.jpg_460x460Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=44971381524&ns=1&abbucket=3,44971381524,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:23.6,1
粽子,苏宁易购官方旗舰店,江苏南京,李子柒龙舟飘香粽DIY拼图端午节粽子礼盒沙牛肉鲜肉粽700g/盒,79.9,168人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2616970884,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2616970884/O1CN01U9Stc81IOuixdYvEp_!!2616970884-0-lubanu-s.jpg_460x460Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=620271139012&ns=1&abbucket=3,6.20271E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:24.7,1
粽子,稻香村食品旗舰店,北京,稻香私房蛋黄大鲜肉粽子嘉兴粽豆沙甜粽子礼盒装端午节送礼特产,89.9,4491人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=1692258071,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1692258071/O1CN01QcgDxw29UZFrtR71g_!!1692258071-0-lubanu-s.jpg_460x460Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=617932436956&ns=1&abbucket=3,6.17932E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:25.8,1
粽子,粽月年旗舰店,浙江嘉兴,粽月年竹篮粽子礼盒装嘉兴棕子蛋黄肉粽子端午节送礼礼品团购定制,44.9,2.0万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2200735690242,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2200735690242/O1CN01VcBpCB1DesRrRZDi5_!!0-item_pic.jpg_460x460Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=588503236540&ns=1&abbucket=3,5.88503E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:26.9,1
粽子,老城南旗舰店,四川成都,老城南清香原味粽100g*8只白米清水糯米粽子特产农家纯手工端午粽,26.9,1.5万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=421576101,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/421576101/O1CN0130EDyi1uwJ0KEXWdf_!!0-item_pic.jpg_460x460Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=548292315790&ns=1&abbucket=3,5.48292E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:28.0,1
粽子,十二紫翼1990,江苏镇江,粽观古今8粽4味嘉兴肉粽高档送礼包装盒手提团购端午粽子礼盒装,218,451人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=1954152547,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1954152547/O1CN01pVXNZr1UgZNuAh62Q_!!1954152547.jpg_460x460Q90.jpg_.webp,https://item.taobao.com/item.htm?id=592221878253&ns=1&abbucket=3#detail,5.92222E+11,淘宝,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:29.1,1
粽子,润之禧旗舰店,浙江嘉兴,润之禧竹篮装粽子礼盒嘉兴棕子蛋黄鲜肉粽子端午节送礼礼品团购,49.9,1.0万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=1743116853,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1743116853/O1CN01OI0jWX20UiqUcHUhm_!!1743116853-0-lubanu-s.jpg_460x460Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=617963213783&ns=1&abbucket=3,6.17963E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:30.2,1
粽子,bbpiaolin,云南昆明,山与味泰国香米粽子竹篮礼盒装端午节团购火腿玫瑰云南手工甜粽,288,549人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=63388146,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/63388146/O1CN01M0Tnyy2A2uxZF1rMy_!!0-item_pic.jpg_460x460Q90.jpg_.webp,https://item.taobao.com/item.htm?id=593091121228&ns=1&abbucket=3#detail,5.93091E+11,淘宝,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:31.3,1
粽子,米旗官方旗舰店,陕西西安,米旗如意粽礼粽子礼盒装1080g鲜肉蜜枣豆沙棕子端午节礼品团购,69.9,2.0万+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=475108112,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/475108112/O1CN01RwHM1v29nLUbvLWca_!!0-item_pic.jpg_460x460Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=618303230143&ns=1&abbucket=3,6.18303E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:32.4,1
粽子,yotime旗舰店,浙江温州,端午节曲奇饼干水晶粽子礼盒装透明即食高端团购定制送礼品伴手礼,158,1847人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2013696569,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2013696569/O1CN019gCr5x1yOeMXiTSuN_!!0-item_pic.jpg_460x460Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=567850981255&ns=1&abbucket=3,5.67851E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:33.5,1
粽子,九禧食品旗舰店,浙江嘉兴,嘉兴大粽子咸蛋黄肉粽新鲜速冻散装五花鲜肉手工网红七龙珠长条粽,54.9,8000+人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2200636978773,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2200636978773/O1CN01re2cFQ2Eg5HSrpjIv_!!0-item_pic.jpg_460x460Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=609766257011&ns=1&abbucket=3,6.09766E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:34.5,1
粽子,杏花楼食品旗舰店,上海,【李佳琦推荐】杏花楼咸蛋黄鲜肉粽豆沙袋装粽子端午大礼包1400g,89.9,2919人付款,https://store.taobao.com/shop/view_shop.htm?user_number_id=2033032140,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2033032140/O1CN01q2jFje1RgABkZBeGT_!!2033032140-0-lubanu-s.jpg_460x460Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=616722601684&ns=1&abbucket=3,6.16723E+11,天猫,https://s.taobao.com/search?q=%E7%B2%BD%E5%AD%90&imgfile=&commend=all&ssid=s5-e&search_type=item&sourceId=tb.index&spm=a21bo.2017.201856-taobao-item.1&ie=utf8&initiative_id=tbindexz_20170306,16:35.7,1
